,class,SENSOR0_RMS,SENSOR0_WAVELEN,SENSOR0_WAMP,SENSOR0_APPEN,SENSOR0_SAMPEN,SENSOR0_MAV,SENSOR1_RMS,SENSOR1_WAVELEN,SENSOR1_WAMP,SENSOR1_APPEN,SENSOR1_SAMPEN,SENSOR1_MAV,SENSOR2_RMS,SENSOR2_WAVELEN,SENSOR2_WAMP,SENSOR2_APPEN,SENSOR2_SAMPEN,SENSOR2_MAV,SENSOR3_RMS,SENSOR3_WAVELEN,SENSOR3_WAMP,SENSOR3_APPEN,SENSOR3_SAMPEN,SENSOR3_MAV
0,rest,0.03168365180759854,5.312485667861578,184,0.6875388616262321,0.6733293753515306,0.022858171617471418,0.0322904648873664,6.383763479828398,241,0.8618382759595562,0.8078619256894151,0.024567603732178703,0.01067027647426491,1.8969435735451872,33,0.8272139232731219,0.7952211454914795,0.008286890938538018,0.0065660779956373495,1.3331615261477112,14,0.6927228311774329,0.6938898467656363,0.004617812947138881
1,rest,0.3294001858567282,68.35543855495358,553,0.8066411827921014,0.8544926946022784,0.251041503881312,0.22118877054329347,53.76157798643053,546,1.000901771009775,1.0801002375407358,0.16956079525778112,0.11062814225473638,26.09618373947313,495,0.8876264854893159,0.989916094273706,0.08225108619790218,0.005862489913081487,1.058648669875817,3,0.6631187423684741,0.5883548968344074,0.004150956030483797
2,rest,0.027409568632360704,4.668322460312708,160,0.7176168373654619,0.6488157098357825,0.01990805635211408,0.03105601389653131,5.119674641274517,177,0.6982274303005416,0.4906109573009192,0.022570191922912288,0.011666410068702213,1.7697777722921506,37,0.7083654719846946,0.5410676263375015,0.008625865447138304,0.0087004045000128,1.5239937915638762,21,0.590170592106094,0.5591503469216675,0.005793294853908441
3,rest,0.029633770729324632,5.427823908858974,221,0.8053922348713995,0.8365114941007068,0.022597632995371108,0.09621194021383911,29.266575501621606,512,1.0473471093983493,1.1890153433083341,0.07464945070311327,0.009295103923005721,2.1487054599855586,28,0.9706402068583699,1.0213304413622033,0.007077182613693167,0.0027697000886620833,0.5611503654255188,0,0.7268453834679365,0.7732378441140808,0.0020045133494560646
4,rest,0.027607486474437504,4.877557520800472,192,0.7726621225835988,0.7994865983799719,0.02171822801461642,0.030853509464481083,6.191633268068416,231,0.8644563391171394,0.859860839687909,0.023873975623390813,0.012669828740095342,2.5923423724177312,55,0.9111332300730726,0.9065976026684953,0.01008390579479319,0.00225881382308794,0.5570755207485681,0,0.9008760466816792,0.9916504162249764,0.0018585272411129553
5,extension,0.02538426952302085,4.815796787006554,170,0.8077135676106777,0.8203589716455009,0.01994739514188693,0.03245529751813216,6.682616017330152,236,0.8590042268391067,0.8706361425156911,0.024029040628750935,0.010682493477956913,2.295966545451084,39,0.9772467246028596,0.9113711382244832,0.008134449851356392,0.0029932512784830835,0.6889111960280814,0,0.8325890202913677,0.8679662669804064,0.0023898575798602575
6,extension,0.031193185550918268,6.014335629366694,242,0.8524613261172944,0.8569085391661356,0.02425773272625017,0.03959066164430416,8.272830111030396,287,0.8868356075269581,0.9055881362608357,0.02972341277958704,0.012053289686492098,2.8519650031250716,62,1.0278105307339382,1.0966336928252094,0.009102363730121186,0.00431225105317204,0.8686768477894491,0,0.7678297230602191,0.7923564446090275,0.0031854561345688367
7,extension,0.04070413644390259,8.272480627167052,325,0.8870612310775026,0.9289106279000607,0.03198889343296985,0.055648061306522015,10.67002179005159,365,0.8612775956174352,0.9029826246521597,0.043380977394352364,0.018366062658948048,3.612602659629468,113,0.9227821977314505,0.9063297814955734,0.014818797079782172,0.00524164233609283,1.1083474328282155,0,0.8187740494442699,0.8692092519994481,0.004189076182057816
8,extension,0.025088562222247028,4.999773643684731,185,0.833980324956332,0.8467157881938194,0.019989055604132392,0.03306054653798377,7.358801494214104,292,0.9164159227025035,0.9959820562789083,0.026193318264021766,0.011586312983926539,2.6361305573459406,53,0.9917970125480289,1.0420419371797154,0.009335683014939518,0.0030187875190165305,0.6929696978191835,0,0.8647942283798504,0.9466591221411239,0.0023795708782290825
9,extension,0.023215310352521022,5.490129151819923,206,0.921388657656319,0.9782578657375081,0.0175798346428003,0.026940752225457838,5.580973768529061,228,0.9530267255097296,1.0128280451127796,0.02143675977201524,0.010538407215286238,2.881210894358276,67,1.1055026445238205,1.2611574438906996,0.008191358929745355,0.007753105041873989,1.6131929772324654,10,0.7433383039606762,0.7740731223598634,0.0056778536189620935
10,flexion,0.027615056929013084,5.2134588826986645,175,0.7957134269937653,0.8210512459300979,0.021403876734005314,0.030113617191540355,5.353665926937992,186,0.7720826721830081,0.7361777895710104,0.021818756665223153,0.009160295646476536,1.8580314332051664,22,0.8767597107718297,0.9506942257343549,0.007119921896577647,0.004521707302692354,0.9036571466493222,0,0.6540993508128241,0.6935250381121456,0.0032468984450543877
11,flexion,0.19884785419843132,41.282394505716375,546,0.8388910195679657,0.8582146488493737,0.15142544999193297,0.21222151647912973,51.9180290231476,550,0.9456231959174062,0.9854191873895156,0.16154743296401985,0.06610508982759722,11.388849130671202,351,0.7952301130492154,0.6375279210699383,0.051131038598296104,0.0116548963721071,2.2094224420695316,44,0.6914438283093727,0.6638161918591043,0.008501335630494085
12,flexion,0.019098787854742977,3.179499530599913,86,0.7650756261113925,0.7385713056742012,0.0147948090327452,0.019251980900848738,3.3472160879630874,109,0.6925167033142579,0.5121192060705353,0.013053931933920343,0.010086304730580826,1.650376095336389,20,0.7581392395617694,0.6661856325631371,0.007225469192638272,0.006346483607093704,0.8937696293309393,11,0.5052012736285811,0.4413606949464819,0.0033602351846613978
13,flexion,0.03296414664082156,5.941709409502458,219,0.7755421754452874,0.8031747762615592,0.025188368430800377,0.041581697024233595,7.996562065209878,270,0.7535910910896502,0.6901504167531047,0.028190802141474965,0.014375165281394965,2.3047374350855785,36,0.7913068925412823,0.7797211500466573,0.010457051401006435,0.004973920671016587,0.7560297889955272,3,0.6156201873369533,0.5686997808008666,0.002910406675978121
14,flexion,0.023084520486266833,3.8240191637242154,122,0.7769701980862425,0.779341230164476,0.01787384999979393,0.025255497369366903,4.716302867348252,155,0.8563055216656315,0.8106717848930143,0.0188985428566462,0.012953734182665724,2.390687588760386,46,0.8902828174644508,0.9156703844597202,0.010055917542236661,0.0022736215706595873,0.5237397184667869,0,0.8296179996022666,0.8676819355047993,0.001789146175162044
15,ulnar_deviation,0.03860261727561398,6.752673601425348,266,0.7297386210765628,0.6986295771225686,0.029403469681943014,0.03965611679341546,8.088540518902125,300,0.8405372763219017,0.8807231081720036,0.030294333467195376,0.011630118689836617,2.415494523660421,38,1.0107593819038825,1.056768306063448,0.009405905503483086,0.01066861872065734,2.094437255554288,38,0.6395998222913879,0.656532152472711,0.0075145710805352385
