,SENSOR0_RMS,SENSOR1_RMS,SENSOR2_RMS,SENSOR3_RMS,SENSOR0_APPEN,SENSOR1_APPEN,SENSOR2_APPEN,SENSOR3_APPEN,class
0,0.02940452141052,0.0314594624222525,0.0102321288535191,0.0063245524735946,0.774738518133137,0.9030165667634172,0.9258322822946958,0.7438340747637064,rest
2,0.0216706634283624,0.0229699616204713,0.0102421737827255,0.0226401917445096,0.7590286966881759,0.6754155004266837,0.8393787860752377,0.522047182878612,rest
3,0.0526555346152656,0.0865124548060234,0.0183853271544196,0.0061525327436809,0.766193693330671,1.1985139035183296,0.8916055293405902,0.6589395286223487,rest
4,0.0271989379030515,0.0302842831022697,0.0114244541496447,0.0021652800657237,0.848054344209856,0.9717554804288095,1.0453896645625005,0.9438535710868808,rest
50,0.0300819341238307,0.0571120709780048,0.0177473874480947,0.0035929187098462,1.0619523644796942,0.9068222609885552,1.0206402375778532,0.9511162751582244,rest
51,0.2523944929710541,0.3172777428911494,0.1319516346467484,0.0191237885103167,1.1360720959761714,1.0262346875167698,1.0053003158768337,0.7452421215186695,rest
52,0.0238863680532076,0.0397039373742088,0.0251044826642262,0.1683536801282225,0.90150289623764,0.9146373006721767,0.8788762417154041,0.7978190689544853,rest
53,0.0593787005209146,0.0846992142346381,0.0277473372721732,0.0064805050149298,1.001577013948797,1.1138966680165965,1.025298194920234,0.9186677255810562,rest
54,0.16287789355341,0.1156964377733106,0.0239245669157405,0.0046505450187587,1.1234245055008785,1.0126647922534897,0.9781962787763328,0.8839141237514401,rest
100,0.0246713834834316,0.0276473123326508,0.0135243484418868,0.0032762694803123,0.8128008855960829,0.7962711200760215,0.7434900165119154,0.7401444937962376,rest
102,0.034553248540542,0.0282619009361729,0.0139972805198132,0.1334387454891729,0.8617829765719995,0.8745543455079727,0.7998646816582649,0.7130922296699063,rest
103,0.227001757442732,0.2242055379960779,0.0149468297294908,0.0064875836882094,0.9653818942683912,1.0819848612311938,0.7948687312613232,0.7257851680211025,rest
104,0.042870800513646,0.0395369563461196,0.0165596535470169,0.0096729839439715,0.799039573827907,0.9235011567519074,0.9014842192301192,0.7726382094325639,rest
150,0.0332278172338173,0.0132249933891919,0.0225207070029451,0.0031062295660611,0.8390454243707697,1.0592465226289227,1.0259434600547337,0.8586369297868197,rest
151,0.19394674444257,0.1258640409635474,0.1855182465978064,0.0033475279210809,1.056876599112793,1.193320542975787,1.138536863468229,0.8521744458789091,rest
152,0.0347694815230458,0.0169856108035446,0.0229086530681678,0.0189950683583592,0.8460211150713164,1.1013468623422118,0.9694926945343704,0.7323622700360404,rest
153,0.1245027768678305,0.0268028053819761,0.0431290703011026,0.0051738641152762,1.1507355885738164,1.0001300486417448,0.90837925230239,0.8808898621293326,rest
154,0.076841066325277,0.0176310952224967,0.0244692498824423,0.0114305641461629,1.1109980664451933,1.1433350103996456,1.0426368854509227,0.8917725433747905,rest
200,0.0269872395725061,0.0174929994856973,0.0076054981149191,0.0020350343507186,1.0232336497768624,1.118605613744147,1.1797057682104044,0.8932504038397866,rest
201,0.2241663456924716,0.1271103105841871,0.1769251010070993,0.01506630373014,1.0263238370981158,1.235500622336664,0.9337610971224866,0.6038453123969574,rest
202,0.0282998469403708,0.0193549957698634,0.0152398285529434,0.1218071659933991,0.9307241607770966,1.1043567616317151,1.1075177908176843,0.8203553711107836,rest
203,0.1916088769576105,0.1335996165840306,0.0162115697421295,0.0070101843732167,1.0899931399521714,1.3080927106212812,1.0854025734079635,0.6149811337028988,rest
204,0.091981974102106,0.0219604567739457,0.0151517265727651,0.1260062381622418,1.141771960213113,1.1200009593103326,1.1818139133832355,0.6940364979465832,rest
250,0.0308022352268401,0.0397600854555822,0.015008916311046,0.0030298825147717,0.9874660308453302,0.966955941293091,1.0735966085101634,0.7927081119210104,rest
252,0.0299345765655857,0.0315548582524802,0.0170186814672622,0.1141663762661824,0.8875991763019919,0.9371530556461036,0.9314149168537252,0.7550119563692808,rest
253,0.1025605423110901,0.1135525114169432,0.0201288897857016,0.0031988196326215,0.9584081071078407,1.1515711108341788,1.0679690298169917,0.8220834706021565,rest
254,0.0262548881574765,0.0370619995044736,0.0206077636104377,0.0021861366480306,0.9007586319986634,0.9620111799391357,1.0470556750404238,0.8509042595273826,rest
300,0.0347661380718663,0.0240998882319979,0.0100108739392202,0.0068578301617788,0.8690869632675136,0.8888630667263611,0.973885125813513,0.68575374630587,rest
301,0.1905387609131741,0.2046452895263742,0.1071680363079597,0.0069064681643498,0.9303504437461912,0.9319769271053672,0.786250312951521,0.6335891091770001,rest
302,0.0439473257554632,0.0285575194043243,0.0142857370160134,0.1626930570858966,0.8464965554935882,0.8573710099073981,0.7831941161960114,0.7730875866582823,rest
303,0.0961766953977513,0.1598182522683479,0.0131729835648475,0.0064888602172295,0.7687281387720413,0.6966704062241362,0.8947065387118407,0.6271996621127327,rest
304,0.0952978155774172,0.0355602279671531,0.0110538643402413,0.0068368410714561,0.883818977029911,0.8758129845076095,0.9056031373868634,0.6073577268995725,rest
350,0.0135621431368021,0.0300548863228751,0.0098225847987998,0.0027796119864429,0.9201940781325876,0.8753956843170534,1.0189253067958384,0.8386969183598358,rest
351,0.1578666256604416,0.2312623012310652,0.0963780866954258,0.0039430712468199,1.0088706311039417,1.0409538132119005,0.8669307264594153,0.8360684088238872,rest
352,0.0132391866663238,0.0217231832580504,0.0098549902408747,0.0037042588611519,0.8756845217700708,0.7433465542979123,1.0234670892148858,0.9032232361997794,rest
353,0.0222393135795434,0.0792277984752914,0.0167093527667596,0.0042575429440263,0.8649690890697452,1.0081057434821017,0.855077207292406,0.851374289000062,rest
354,0.0147202652410735,0.0258705786955483,0.008711999250426,0.0034999502732737,0.9102416572869364,0.883014990987447,1.0622735837320487,0.8839316531204466,rest
400,0.0232780005226301,0.021062282152994,0.0107884565610405,0.0025009873151689,0.9340079763679784,1.089547804004754,1.1175774602858173,0.9342130882276244,rest
401,0.1650906797673252,0.2042109174507959,0.0231125835629967,0.0038698593019092,1.1198705850749633,1.0695486516648711,0.8759741900844285,0.8367261823253513,rest
402,0.0247087465318271,0.0281385040900209,0.0166275358279947,0.0516197484834223,1.0265907886801515,0.9560794229774064,1.042453362374277,0.5418046339632769,rest
403,0.0266215150664046,0.1128861274911958,0.01191708128998,0.0028899751254636,0.9504776353383249,1.2356214665515566,1.176565105621962,0.994139065721225,rest
404,0.0252369561859827,0.0243556447301633,0.0105494698463135,0.0026952052133655,0.9292200056836316,1.0184181174032203,1.21342640638315,0.9525225533749296,rest
450,0.0137374218473253,0.0171558154739382,0.0116825768864572,0.0020829105962855,0.863655112521811,0.909771939273644,0.8930386681908629,0.8019823073267855,rest
451,0.1190544893521576,0.2175465801805611,0.1019231761299804,0.0029241070184376,1.1167110471845274,1.0442168092058766,1.0463146664247542,0.7696746108674999,rest
452,0.0087786378641588,0.0135361677403422,0.0119440405661231,0.0032872669129604,0.9284073287537824,1.0186004994797735,1.0599752070246042,0.7644172524383097,rest
453,0.0170214111146357,0.0866394956349188,0.0125805085453524,0.0029171757913038,0.9649531082438624,1.0708097301739792,1.1130153579127078,0.8815428757051289,rest
